periodo,periodomes,LINEA,NOMBRE_EMPRESA,TIPO_TRANSPORTE,AMBA,cantidad,periodo_date,dia,var_mensual_priv_registrado,indice_priv_registrado,var_mensual_pub_registrado,indice_pub_registrado,var_mensual_priv_no_registrado,indice_priv_registrado_no_registrado,var_mesual_total,indice_total,tarifa_plena_regt,tarifa_plena_regf,var_porcentual,tarifa_subte_registrada,tarifa_subte_no_registrada,salario_promedio_privado_registrado,salario_promedio_publico_registrado,salario_promedio_privado_no_registrado,salario_promedio_total,sueldo_tarifa_subte_priv,sueldo_tarifa_subte_pub,sueldo_tarifa_subte_total
2022-04-01,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,131671,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-01,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,181083,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-01,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,75022,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-01,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,89602,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-01,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,165976,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-01,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,184453,2022-04-01,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,116010,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,174450,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,74012,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,83524,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,159892,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-04,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,180940,2022-04-04,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,121313,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,184935,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,78146,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,88731,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,166081,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-05,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,186620,2022-04-05,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,124123,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,188420,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,78621,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,86627,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,169110,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-06,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,191342,2022-04-06,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,123197,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,194068,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,78519,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,93731,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,169125,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-07,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,193950,2022-04-07,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,130076,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,193509,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,77182,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,93399,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,172917,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-08,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,197166,2022-04-08,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,117520,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,174881,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,73597,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,86661,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,160303,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-11,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,185649,2022-04-11,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,126534,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,192583,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,80686,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,91498,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,174987,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-12,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,198838,2022-04-12,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,137795,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,197128,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,88177,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,90577,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,183504,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-13,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,205092,2022-04-13,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,73276,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,86370,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,28967,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,46342,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,82451,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-14,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,102236,2022-04-14,Thursday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,44729,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,63327,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,20880,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,27223,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,45403,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-15,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,64556,2022-04-15,Friday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,117614,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,166297,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,72817,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,82797,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,154865,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-18,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,177027,2022-04-18,Monday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,122804,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA SUBTE D,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,181553,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA SUBTE E,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,79145,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA SUBTE H,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,89207,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA_A,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,169434,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-19,2022/04,LINEA_B,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,190786,2022-04-19,Tuesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
2022-04-20,2022/04,LINEA SUBTE C,EMOVA MOVILIDAD S.A. (ex MTV),SUBTE,SI,119048,2022-04-20,Wednesday,5.6,232.4351615,2.66,237.4724201,7.06,222.2288828,4.96,232.1,$30.00,NA,0,30,NA,128406.32,126027.1120391522,117937.33478261388,123175.95741,4280.210666666667,4200.903734638407,4105.865247
